Term,Library,p-value,q-value,z-score,combined score,overlaps
Generic Transcription Pathway R-HSA-212436,Reactome_2022,1.073e-32,1.0210e-29,2.653,195.3,SPI1;EHMT2;HDAC11;EHMT1;RBPJ;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;ZNF605;AKT3;PIP4K2B;ZNF169;ZNF17;ZNF18;SMARCC1;SMARCC2;ZNF160;ZFP2;ZNF10;RUNX1;ZNF839;ZNF714;ZNF713;ZNF710;ZSCAN25;TP53;L3MBTL1;ZNF324B;ZNF273;SUPT4H1;NEDD4L;GATA3;ZNF23;GATA2;ZNF708;ZNF707;ZNF704;ZNF703;ATRIP;ZNF263;JAG1;YES1;PHC1;ZNF383;SMARCA4;OCLN;AGO3;ZNF37A;AGO4;ARTN;ZNF30;CDC16;ZNF138;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;ZNF493;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;CTSL;ZNF248;TEAD3;VENTX;ZNF485;PRMT5;ZNF483;PBRM1;PARP1;PRMT1;TCF12;PAX5;SIRT3;NR5A1;KAT2B;KAT2A;NR5A2;TAL1;MED20;SGK1;ZNF235;ZNF114;ZNF234;PPARD;NR1I2;ZNF3;ZFP14;RXRA;PLAGL1;ZNF589;ZNF585B;ZNF587;ZNF343;ZNF584;NPM1;ZNF460;NFYB;PCGF2;NR1H3;ZNF33B;SKI;ZNF70;NR6A1;ZNF71;GPAM;CAMK4;ZNF74;ZNF337;ZNF334;ZNF354B;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;NR3C2;CCND1;ZNF688;ZNF445;ZNF566;ZNF202;ZNF565;MEN1;ZNF320;ZNF681;ZNF680;ANAPC7;FBXW7;LIFR;FOXP3;MAF;ANAPC4;ZNF678;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;ZNF550;ZNF792;ZNF790;TCF7;FOXO1;KRBOX4;ZKSCAN8;ZNF549;ZKSCAN3;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;ZNF665;ZNF664;SKIL;ZNF785;SOCS4;ZNF300;ZNF420;ZNF540;ZNF782;ZNF660;SMAD1;SMAD4;CBX5;TFAP2E;VDR;TNFRSF10C;CNOT10;SMAD7;CDK9;CNOT4;NR4A1;IL6;CDK6;BCL6;ZNF417;YWHAE;ZNF771;DPY30;ZNF529;CASP6;ZNF764;ZNF761;TGIF2;TNFRSF18;PPP2R5C;RABGGTB;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;SMARCD1;CEBPB;HDAC2;CAMK2D;ZNF195;LEF1;NR2C1;AURKB;AURKA;ZNF749;ZNF627;ZNF747;RBBP7;E2F5;ZNF621;ZNF500;E2F6;ZNF620;ZNF740;ZNF286A;SMARCE1;TCF7L2;RRM2;MGA;ARID3A;SSRP1;MAPK14;KLF4;MAPK11;RAD50;GNPDA1;ERCC3;IL2RA;ERCC2;ZNF736;ZNF614;ZNF613;TAF6;ZNF730
RNA Polymerase II Transcription R-HSA-73857,Reactome_2022,1.303e-32,1.0210e-29,2.561,188.0,SPI1;EHMT2;HDAC11;EHMT1;RBPJ;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;ZNF605;AKT3;PIP4K2B;ZNF169;ZNF17;ZNF18;SMARCC1;SMARCC2;ZNF160;ZFP2;ZNF10;RUNX1;ZNF839;ZNF714;ZNF713;ZNF710;ZSCAN25;TP53;L3MBTL1;ZNF324B;ZNF273;CSTF3;SUPT4H1;NEDD4L;GATA3;ZNF23;GATA2;ZNF708;ZNF707;ZNF704;ZNF703;CSTF1;ATRIP;ZNF143;ZNF263;JAG1;YES1;PHC1;ZNF383;SMARCA4;OCLN;AGO3;ZNF37A;AGO4;ARTN;ZNF30;CDC16;ZNF138;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;ZNF493;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;CTSL;ZNF248;TEAD3;VENTX;ZNF485;PRMT5;ZNF483;PBRM1;PARP1;PRMT1;TCF12;PAX5;SIRT3;WDR33;NR5A1;KAT2B;KAT2A;NR5A2;TAL1;MED20;SGK1;ZNF235;ZNF114;ZNF234;PPARD;NR1I2;ZNF3;ZFP14;RXRA;PLAGL1;ZNF589;ZNF585B;ZNF587;ZNF343;ZNF584;NPM1;ZNF460;NFYB;PCGF2;NR1H3;ZNF33B;SKI;ZNF70;NR6A1;ZNF71;GPAM;CAMK4;ZNF74;ZNF337;ZNF334;ZNF354B;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;NR3C2;CCND1;ZNF688;ZNF445;ZNF566;ZNF202;ZNF565;MEN1;ZNF320;ZNF681;ZNF680;ANAPC7;FBXW7;THOC1;LIFR;FOXP3;MAF;ANAPC4;ZNF678;SRSF6;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;ZNF550;ZNF792;ZNF790;RBM8A;TCF7;FOXO1;KRBOX4;ZKSCAN8;ZNF549;ZKSCAN3;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;DMAP1;ZNF665;ZNF664;SKIL;ZNF785;SOCS4;ZNF300;ZNF420;ZNF540;ZNF782;ZNF660;SMAD1;CHTOP;SMAD4;CBX5;CPSF6;TFAP2E;VDR;TNFRSF10C;CNOT10;POU2F2;SMAD7;CDK9;CNOT4;NR4A1;IL6;CDK6;BCL6;ZNF417;NABP1;YWHAE;ZNF771;DPY30;ZC3H8;ZNF529;CASP6;SNAPC4;ZNF764;ZNF761;TGIF2;NCBP2;TNFRSF18;PPP2R5C;RABGGTB;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;SMARCD1;CEBPB;HDAC2;CAMK2D;ZNF195;LEF1;NR2C1;AURKB;AURKA;PABPN1;FIP1L1;ZNF749;ZNF627;ZNF747;RBBP7;E2F5;ZNF621;ZNF500;E2F6;ZNF620;ZNF740;ZNF286A;SMARCE1;TCF7L2;RRM2;MGA;ARID3A;SSRP1;MAPK14;KLF4;MAPK11;RAD50;GNPDA1;ERCC3;IL2RA;ERCC2;ZNF736;ZNF614;ZNF613;TAF6;ZNF730
Gene Expression (Transcription) R-HSA-74160,Reactome_2022,7.555e-32,3.9430e-29,2.452,175.7,SPI1;EHMT2;HDAC11;EHMT1;RBPJ;RRP8;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;ZNF605;AKT3;PIP4K2B;ZNF169;ZNF17;ZNF18;SMARCC1;SMARCC2;ZNF160;ZFP2;ZNF10;RUNX1;ZNF839;ZNF714;ZNF713;ZNF710;ZSCAN25;TP53;L3MBTL1;ZNF324B;ZNF273;CSTF3;SUPT4H1;NEDD4L;GATA3;ZNF23;GATA2;ZNF708;ZNF707;ZNF704;ZNF703;CSTF1;ATRIP;ZNF143;ZNF263;JAG1;YES1;PHC1;ZNF383;SMARCA4;OCLN;AGO3;ZNF37A;AGO4;ARTN;ZNF30;CDC16;ZNF138;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;ZNF493;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;CTSL;XPO5;ZNF248;TEAD3;VENTX;ZNF485;PRMT5;ZNF483;PBRM1;PARP1;PRMT1;TCF12;TFB2M;PAX5;SIRT3;WDR33;NR5A1;KAT2B;KAT2A;NR5A2;AEBP2;TAL1;MED20;TET3;SGK1;ZNF235;ZNF114;ZNF234;PPARD;NFIX;NR1I2;ZNF3;ZFP14;RXRA;PLAGL1;ZNF589;ZNF585B;ZNF587;ZNF343;ZNF584;NPM1;ZNF460;NFYB;PCGF2;NR1H3;ZNF33B;SKI;ZNF70;NR6A1;ZNF71;GPAM;NFIA;NFIB;PRKRA;CAMK4;ZNF74;ZNF337;ZNF334;ZNF354B;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;NR3C2;CCND1;ZNF688;ZNF445;ZNF566;ZNF202;ZNF565;MEN1;ZNF320;ZNF681;ZNF680;ANAPC7;FBXW7;GTF3A;THOC1;LIFR;POLRMT;FOXP3;MAF;ANAPC4;ZNF678;SRSF6;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;ZNF550;ZNF792;ZNF790;RBM8A;TCF7;FOXO1;KRBOX4;ZKSCAN8;ZNF549;ZKSCAN3;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;DMAP1;ZNF665;ZNF664;SKIL;ZNF785;SOCS4;ZNF300;ZNF420;ZNF540;ZNF782;ZNF660;SMAD1;CHTOP;SMAD4;CBX5;CPSF6;TFAP2E;VDR;TNFRSF10C;CNOT10;POU2F2;SMAD7;CDK9;CNOT4;NR4A1;IL6;CDK6;BCL6;ZNF417;NABP1;YWHAE;ZNF771;DPY30;ZC3H8;ZNF529;CASP6;SNAPC4;DNMT3B;ZNF764;ZNF761;TGIF2;NCBP2;TNFRSF18;PPP2R5C;RABGGTB;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;SMARCD1;CEBPB;HDAC2;CAMK2D;GTF3C4;ZNF195;LEF1;NR2C1;AURKB;AURKA;MTA1;PABPN1;FIP1L1;ZNF749;ZNF627;ZNF747;DROSHA;RBBP7;E2F5;ZNF621;ZNF500;E2F6;ZNF620;MTA3;ZNF740;ZNF286A;SMARCE1;TCF7L2;RRM2;MGA;ARID3A;SSRP1;MAPK14;KLF4;MAPK11;RAD50;POLR3A;GNPDA1;ERCC3;IL2RA;ERCC2;ZNF736;ZNF614;ZNF613;TAF6;ZNF730
Herpes simplex virus 1 infection,KEGG_2021_Human,1.8e-25,5.6360e-23,3.365,191.7,ZNF573;ZNF571;ZNF570;ZNF81;ZNF607;ZNF606;ZNF83;ZNF605;ZNF726;AKT3;ZNF846;ZNF85;IL12A;ZNF688;ZNF566;ZNF169;ZNF565;ZNF17;ZNF320;ZNF680;ZNF283;ZNF160;ZNF10;HLA-F;HLA-E;ZNF91;ZNF714;ZNF713;SRSF6;ZNF554;ZNF675;TP53;ZNF431;ZNF550;ZNF792;ZNF324B;ZNF273;ZNF790;ZNF23;ZNF708;ZNF707;ZNF549;ZNF426;TNFRSF14;ZNF304;ZNF546;ZNF665;ZNF785;ZNF300;ZNF420;ZNF783;ZNF540;ZNF782;EIF2B4;EIF2B3;ZNF383;EIF2AK4;PILRA;POU2F2;IL6;MAVS;ZNF37A;ZNF816;ZNF30;ZNF417;ZNF813;HLA-DRA;TAB2;RBAK;ZNF133;ZNF254;ZNF253;ZNF891;ZNF251;ZNF43;PIK3CD;PIK3CB;ZNF529;ZNF527;ZNF768;ZNF888;ZNF248;ZNF765;ZNF764;JAK1;ZNF761;SYK;IFNGR1;IFNGR2;ZFP92;ZNF57;ZNF519;IRF3;TRAF5;ZNF514;ZNF780B;ITGA5;ZNF114;ZNF235;ZNF510;ZNF234;SP100;ZNF195;ZNF3;ZFP14;ZNF749;ZNF627;ZNF623;ZNF589;ZNF621;ZNF585B;ZNF587;ZNF620;ZNF343;ZNF286A;ZNF584;ZNF460;ZNF182;CARD9;ZNF33B;ZNF74;ZNF736;ZNF614;ZNF613;ZNF337;ZNF334;ZNF730;ZNF354B
BCL6 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,1.459e-18,2.5160e-15,3.616,148.5,ARHGAP9;SPI1;CSF3R;LRRK2;AQP9;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;HK3;GLT1D1;MMP25;RASSF5;NAMPT;TRIM25;SIRPA;GPSM3;ACSL1;SLC11A1;NFAM1;ARAP1;GMIP;TNFRSF1B;HLA-E;IL17RA;FGR;HCK;PHOSPHO1;TYROBP;TLR8;HCLS1;PADI4;LCP1;TLR4;S100A9;RNF166;S100A8;CDC42SE1;CEBPB;PPM1M;PTAFR;PXN;C5AR1;FGL2;AOAH;MEFV;LILRA2;CORO1A;GNAI2;ZDHHC18;RXRA;CXCR1;DHX34;CXCR2;CHST15;ZBTB7B;ZNF467;VASP;LYN;CCR1;STAT5B;MAP3K3;MBOAT7;CYP4F3;TNFRSF10C;PBX2;ABCA7;PILRA;LILRB2;LILRB3;SORL1;ABTB1;BST1;NLRP12;ARHGAP30;VNN2;RNF149;MXD1
SPI1 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,5.285e-18,3.0370e-15,3.553,141.4,ARHGAP9;CSF3R;AQP9;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;HK3;GLT1D1;MMP25;RASSF5;RAC2;SIRPA;GPSM3;FCER1G;SLC11A1;NFAM1;IFNGR2;CYBB;CYBA;ARAP1;GMIP;TNFRSF1B;HLA-E;IL17RA;FGR;PHOSPHO1;TYROBP;TLR8;HCLS1;ZNF710;LCP1;TLR4;S100A9;RNF166;CDC42SE1;GRN;CEBPB;PPM1M;PTAFR;C5AR1;AOAH;MEFV;LILRA2;CORO1A;GNAI2;TRPM2;ZDHHC18;CXCR1;DHX34;CXCR2;PSAP;CHST15;TNFRSF14;CD14;ZBTB7B;ZNF467;SLC15A3;VASP;LYN;CCR1;MAP3K3;MBOAT7;TNFRSF10C;ABCA7;LILRB1;PILRA;LILRB2;LILRB3;ABTB1;BST1;ARHGAP30;VNN2;BCL6;RNF149;TBXAS1;MXD1
SEMA4A human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,5.285e-18,3.0370e-15,3.553,141.4,ARHGAP9;AQP9;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;HK3;GLT1D1;MMP25;RASSF5;RAC2;TRIM25;SIRPA;GPSM3;CMKLR1;FCER1G;SYK;SLC11A1;NFAM1;IFNGR2;CYBB;CYBA;ARAP1;GMIP;TNFRSF1B;HLA-E;IL17RA;FGR;HCK;TYROBP;RAPGEF1;TLR8;HCLS1;ZNF710;LCP1;TLR4;RNF166;CDC42SE1;GRN;CEBPB;PPM1M;PTAFR;C5AR1;AOAH;MEFV;LILRA2;CORO1A;GNAI2;TRPM2;ZDHHC18;CXCR1;CXCR2;PSAP;CHST15;TNFRSF14;CD14;ZBTB7B;SLC15A3;VASP;LYN;CCR1;IL10RA;TNFRSF10C;ABCA7;LILRB1;PILRA;LILRB2;LILRB3;LILRB4;NFKB2;ABTB1;BST1;ARHGAP30;VNN2;BCL6;TBXAS1;MXD1
MXD1 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,1.881e-17,8.1070e-15,3.491,134.5,ARHGAP9;SPI1;CSF3R;LRRK2;AQP9;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;HK3;GLT1D1;MMP25;RASSF5;NAMPT;TRIM25;GPSM3;ACSL1;SLC11A1;NFAM1;CYBB;ARAP1;GMIP;TNFRSF1B;HLA-E;IL17RA;FGR;HCK;PHOSPHO1;TYROBP;TLR8;HCLS1;PADI4;LCP1;TLR4;S100A9;RNF166;S100A8;KDM7A;CDC42SE1;PPM1M;PTAFR;C5AR1;FGL2;AOAH;MEFV;LILRA2;ZDHHC18;CXCR1;CXCR2;CHST15;ZBTB7B;VASP;LYN;CCR1;STAT5B;MAP3K3;MBOAT7;CYP4F3;TNFRSF10C;ABCA7;PILRA;LILRB2;LILRB3;MAPK14;SORL1;IGF2R;ABTB1;BST1;SLC25A37;NLRP12;ARHGAP30;VNN2;BCL6;AGO4;RNF149;TBXAS1
PLXNC1 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,6.579e-17,2.2680e-14,3.430,127.8,ARHGAP9;SPI1;CSF3R;LRRK2;AQP9;ITGB2;PIK3CD;PTPRJ;LSP1;BACH1;LITAF;CTSS;SIRPB1;HK3;GLT1D1;MMP25;RASSF5;NAMPT;SIRPA;GPSM3;SYK;ACSL1;SLC11A1;NFAM1;CYBB;ARAP1;GMIP;TNFRSF1B;HLA-E;IL17RA;FGR;HCK;TYROBP;TLR8;HCLS1;LCP1;TLR4;S100A9;S100A8;KDM7A;CDC42SE1;PPM1M;PTAFR;C5AR1;FGL2;IQGAP1;AOAH;MEFV;LILRA2;ADIPOR1;ZDHHC18;CXCR1;CXCR2;CHST15;VASP;LYN;CCR1;STAT5B;MAP3K3;CYP4F3;TNFRSF10C;PILRA;LILRB2;LILRB3;MAPK14;SORL1;IGF2R;ABTB1;BST1;SLC25A37;NLRP12;ARHGAP30;VNN2;BCL6;AGO4;RNF149;TBXAS1;FBXL5;MXD1
CD14-positive monocyte - Blood,HuBMAP_ASCTplusB_augmented_2022,3.012e-15,2.1810e-12,5.993,200.4,CDA;CSF3R;SPI1;CEBPD;LRRK2;AQP9;C5AR1;FGL2;PTAFR;MEFV;LILRA2;SIRPB1;HK3;GLT1D1;CHST15;SIRPA;CD14;ZNF467;CCR1;SLC11A1;NFAM1;CYBB;PILRA;LILRB2;LYZ;LILRB3;FGR;BST1;HCK;MS4A6A;VCAN;NLRP12;TYROBP;SLC7A7;TLR8;PADI4;S100A9;TLR4;S100A8;CREB5
