Term,Library,p-value,q-value,z-score,combined score,overlaps
Generic Transcription Pathway R-HSA-212436,Reactome_2022,1.045e-56,1.7640e-53,3.050,393.2,SPI1;EHMT2;SERPINE1;HDAC11;EHMT1;RBPJ;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;MYC;ZNF605;AKT3;MYB;PIP4K2B;ZNF721;ZNF169;ZNF17;ZNF287;ZNF18;PRKAB2;SMARCC1;SMARCC2;ZFP1;ZNF282;ZNF160;ZFP2;ZNF10;RUNX3;RUNX2;RUNX1;ZNF839;ZNF714;ZNF713;PRKCQ;ZNF710;MAML3;ZSCAN25;TP53;ZNF157;L3MBTL1;ZNF154;ZNF324B;ZNF273;L3MBTL2;SUPT4H1;TGFA;NEDD4L;TWIST1;GATA3;ZNF23;GATA2;GATA1;ZNF709;PRDX2;ZNF708;ZNF707;ZNF704;ZNF703;HIVEP3;ATRIP;PPARGC1A;ZNF267;NFE2;CREBBP;ZNF263;JAG1;YES1;PHC1;ZNF383;NFATC2;ZNF34;SMARCA4;COL1A1;MOV10;OCLN;AGO3;ZNF37A;AGO4;ARTN;ZNF30;CDC16;ZNF138;CALM1;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;CDKN1A;ZNF493;ZNF492;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;CTSL;ZNF248;TEAD3;VENTX;ZNF485;TEAD4;PRMT5;ZNF483;PBRM1;PARP1;ZNF480;PRMT1;TCF12;PAX5;SIRT3;PSMA5;NR5A1;KAT2B;KAT2A;NR5A2;TAL1;MED20;RARA;PPARG;ZNF599;SGK1;ZNF235;ZNF114;ZNF234;PPARD;ZNF595;ZNF473;ZNF471;NR1I2;ZNF3;RXRB;ZFP14;RXRA;PSMB3;PLAGL1;ZNF589;ZNF585B;ZNF224;ZNF587;ZNF101;ZNF343;ZNF584;ZNF461;NPM1;ZNF460;STAT1;NFYB;PCGF2;NFYC;NR1H3;GTF2H2;GTF2H3;GATAD2B;LRPPRC;PSMB9;ZNF33B;SKI;ZNF70;NR6A1;ZNF71;GPAM;CAMK4;ZNF74;ZNF337;ZNF215;RNF141;ZNF334;ZNF696;PF4;ZNF354B;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;PRDM1;NR3C2;YY1;CCND1;ZFP30;SCMH1;ZNF208;ZNF689;ZNF446;ZNF688;ZNF445;ZNF566;ZNF202;ZFP37;ZNF565;MEN1;ZNF320;ZNF682;ZNF681;ZNF680;ANAPC7;FBXW7;UBE2E1;LIFR;FOXP3;GTF2F2;MAF;KAT6A;ZNF439;ZNF559;ANAPC4;ZNF558;ZNF678;ZNF433;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;NOTCH2;ZNF551;ZNF550;ZNF792;ZNF790;KMT2A;CBFB;NOTCH4;TCF7;FOXO6;FOXO3;FOXO1;KRBOX4;ATXN3;ZKSCAN8;ZNF549;ZKSCAN3;ZNF548;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;ZNF665;ZNF302;ZNF664;SKIL;ZNF785;SOCS4;ZKSCAN1;ZNF300;ZNF420;ESRRA;ZNF540;ZNF782;ZNF660;SMAD1;ZFHX3;SMAD4;CBX5;TFAP2E;VDR;CAV1;ESRRB;TNFRSF10C;CNOT10;FBXO32;SMAD6;ESR1;NFKB1;ESR2;SMAD7;CDK9;CNOT4;NR4A2;NR4A1;IL6;CDK6;CNOT7;BCL6;CDK4;ZNF417;ZNF416;CDK1;ZNF777;CNOT8;ZNF773;YWHAE;ZNF771;KDM5B;THRB;THRA;DPY30;ITGAL;ZNF529;CASP6;MYBL2;ZNF764;ZNF521;ZNF385A;ZNF761;TGIF1;TBP;TGIF2;PDPK1;TNFRSF18;PPP2R5C;RABGGTB;RBL2;CREB1;TFDP1;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;CAMK2B;HDAC5;SMARCD1;CEBPB;HDAC2;CAMK2D;ZNF195;SRC;TAF9;LEF1;NR2C1;AURKB;AURKA;RBBP4;ZNF749;ZNF627;ZNF626;ZNF747;ZNF624;RBBP7;E2F5;ZNF621;MTA2;ZNF500;E2F6;ZNF620;E2F7;ZNF740;E2F8;ZNF860;ZNF286A;SMARCE1;TCF7L2;RRM2;TAF13;MGA;ARID3A;SSRP1;MAPK14;KLF4;PML;MAPK11;RAD50;GNPDA1;ERCC3;IL2RA;ERCC2;ZNF736;ZNF614;ZNF613;TAF6;PTPN4;ZNF610;ZNF730;TAF2;TAF1
RNA Polymerase II Transcription R-HSA-73857,Reactome_2022,9.53e-56,8.0390e-53,2.904,367.9,SPI1;EHMT2;SERPINE1;EHMT1;RBPJ;MYC;AKT3;MYB;PIP4K2B;ZNF169;ZNF17;ZNF287;ZNF18;PRKAB2;ZNF282;ZNF160;ZNF10;ZC3H11A;PRKCQ;MAML3;ZSCAN25;ZNF157;ZNF154;ZNF273;NEDD4L;GATA3;ZNF23;GATA2;GATA1;PRDX2;ATRIP;PPARGC1A;ZNF267;NFE2;ZNF143;CREBBP;ZNF263;JAG1;PHC1;ZNF383;NFATC2;ZNF34;COL1A1;MOV10;AGO3;ZNF37A;AGO4;ZNF30;ZNF138;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;CDKN1A;ZNF493;ZNF492;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;ZNF248;TEAD3;ZNF485;TEAD4;ZNF483;ZNF480;TCF12;PAX5;SIRT3;WDR33;PSMA5;KAT2B;KAT2A;TAL1;MED20;RARA;PPARG;ZNF599;ZNF235;ZNF114;ZNF234;PPARD;ZNF595;ZNF473;ZNF471;NR1I2;PSMB3;PLAGL1;ZNF589;ZNF224;ZNF587;ZNF101;ZNF343;ZNF584;ZNF461;ZNF460;STAT1;PCGF2;NR1H3;GTF2H2;GTF2H3;GATAD2B;LRPPRC;PSMB9;ZNF33B;SKI;ZNF70;ZNF71;ZNF74;ZNF337;ZNF215;RNF141;ZNF334;ZNF696;PF4;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;YY1;ZFP30;SCMH1;ZNF208;ZNF689;ZNF446;ZNF688;ZNF445;ZNF566;ZNF202;ZFP37;ZNF565;MEN1;ZNF320;ZNF682;ZNF681;ZNF680;ANAPC7;FBXW7;UBE2E1;THOC1;THOC2;FOXP3;GTF2F2;THOC7;MAF;KAT6A;ZNF439;ZNF559;ANAPC4;ZNF558;ZNF678;SNRPE;SRSF5;SRSF6;ZNF433;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;NOTCH2;ZNF551;ZNF550;ZNF792;ZNF790;KMT2A;CBFB;NOTCH4;FOXO6;FOXO3;FOXO1;KRBOX4;ATXN3;ZKSCAN8;ZNF549;ZKSCAN3;ZNF548;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;ZNF665;ZNF302;ZNF664;SKIL;ZNF785;SOCS4;ZKSCAN1;ZNF300;ZNF420;ESRRA;ZNF540;ZNF782;ZNF660;CHTOP;ESRRB;TNFRSF10C;FBXO32;NFKB1;CDK9;CNOT4;CDK6;CNOT7;BCL6;CDK4;ZNF417;ZNF416;CDK1;ZNF777;CNOT8;ZNF773;ZNF771;ZC3H8;ITGAL;ZNF529;ZNF764;ZNF521;ZNF761;TNFRSF18;RABGGTB;TFDP1;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;HDAC5;SMARCD1;CEBPB;HDAC2;SRC;FIP1L1;RBBP4;ZNF749;ZNF627;ZNF626;ZNF747;ZNF624;RBBP7;E2F5;ZNF621;ZNF500;E2F6;ZNF620;E2F7;ZNF740;E2F8;ZNF860;SMARCE1;MGA;KLF4;PML;RAD50;IL2RA;ZNF736;ZNF614;ZNF613;PTPN4;ZNF610;ZNF730;HDAC11;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;ZNF605;ZNF721;SMARCC1;SMARCC2;ZFP1;ZFP2;RUNX3;RUNX2;RUNX1;ZNF839;ZNF714;ZNF713;ZNF710;TP53;L3MBTL1;ZNF324B;L3MBTL2;CSTF3;SUPT4H1;TGFA;TWIST1;ZNF709;ZNF708;ZNF707;ZNF704;ZNF703;CSTF1;HIVEP3;YES1;SMARCA4;OCLN;ARTN;CDC16;CALM1;CTSL;VENTX;PRMT5;PBRM1;PARP1;PRMT1;NR5A1;NR5A2;SGK1;FYTTD1;ZNF3;RXRB;ZFP14;RXRA;ZNF585B;NPM1;NFYB;NFYC;NR6A1;GPAM;CAMK4;ZNF354B;PRDM1;NR3C2;CCND1;LIFR;RBM8A;TCF7;DMAP1;SMAD1;ZFHX3;SMAD4;CBX5;CPSF6;TFAP2E;VDR;CAV1;CNOT10;POU2F2;SMAD6;ESR1;ESR2;SMAD7;NR4A2;NR4A1;IL6;NABP1;YWHAE;KDM5B;THRB;THRA;DPY30;CASP6;SNAPC4;MYBL2;ZNF385A;TGIF1;TBP;TGIF2;NCBP2;PDPK1;PPP2R5C;RBL2;CREB1;CAMK2B;CAMK2D;ZNF195;TAF9;LEF1;CSTF2T;NR2C1;AURKB;AURKA;PABPN1;MTA2;ZNF286A;TCF7L2;RRM2;TAF13;ARID3A;SSRP1;MAPK14;MAPK11;GNPDA1;ERCC3;ERCC2;TAF6;TAF2;TAF1
Gene Expression (Transcription) R-HSA-74160,Reactome_2022,4.838e-55,2.7210e-52,2.776,347.2,SPI1;EHMT2;SERPINE1;EHMT1;RBPJ;RRP8;MYC;AKT3;MYB;PIP4K2B;ZNF169;ZNF17;ZNF287;ZNF18;PRKAB2;ZNF282;ZNF160;ZNF10;ZC3H11A;PRKCQ;MAML3;ZSCAN25;ZNF157;ZNF154;ZNF273;NEDD4L;GATA3;ZNF23;GATA2;GATA1;PRDX2;ATRIP;PPARGC1A;ZNF267;NFE2;ZNF143;CREBBP;ZNF263;JAG1;PHC1;ZNF383;NFATC2;ZNF34;COL1A1;MOV10;AGO3;ZNF37A;AGO4;ZNF30;ZNF138;CDK13;ZNF254;ZNF496;ZNF133;ZNF253;CDKN1A;ZNF493;ZNF492;PHF20;ZNF43;GLI3;GLI2;MECP2;MED12;HEY1;CASP10;ZNF248;TEAD3;ZNF485;TEAD4;ZNF483;ZNF480;TCF12;TET2;TET1;PAX5;SIRT3;WDR33;PSMA5;KAT2B;KAT2A;AEBP2;TAL1;MED20;MTF2;TET3;RARA;PPARG;ZNF599;ZNF235;ZNF114;ZNF234;PPARD;ZNF595;ZNF473;ZNF471;NFIX;NR1I2;PSMB3;PLAGL1;ZNF589;ZNF224;SF3B1;ZNF587;ZNF101;ZNF343;ZNF584;ZNF461;ZNF460;STAT1;PCGF2;NR1H3;GTF2H2;GTF2H3;GATAD2B;LRPPRC;PSMB9;ZNF33B;SKI;ZNF70;ZNF71;NFIA;NFIB;ZNF74;ZNF337;ZNF215;RNF141;ZNF334;ZNF696;PF4;ZNF573;ZNF692;ZNF571;ZNF691;ZNF570;RORC;RORA;RORB;YY1;ZFP30;SCMH1;ZNF208;ZNF689;ZNF446;ZNF688;ZNF445;ZNF566;ZNF202;ZFP37;ZNF565;MEN1;ZNF320;ZNF682;ZNF681;ZNF680;ANAPC7;FBXW7;UBE2E1;GTF3A;THOC1;THOC2;POLRMT;FOXP3;GTF2F2;THOC7;MAF;KAT6A;ZNF439;ZNF559;ANAPC4;ZNF558;ZNF678;SNRPE;SRSF5;SRSF6;ZNF433;ZNF675;ZNF554;ANAPC1;ANAPC2;ZNF431;BLK;NOTCH2;ZNF551;ZNF550;ZNF792;ZNF790;KMT2A;CBFB;NOTCH4;FOXO6;FOXO3;FOXO1;KRBOX4;ATXN3;ZKSCAN8;ZNF549;ZKSCAN3;ZNF548;ZNF426;ZKSCAN5;ZNF304;ZNF546;ZKSCAN4;ZNF665;ZNF302;ZNF664;SKIL;ZNF785;SOCS4;ZKSCAN1;ZNF300;ZNF420;ESRRA;ZNF540;ZNF782;ZNF660;CHTOP;ESRRB;TNFRSF10C;FBXO32;NFKB1;CDK9;CNOT4;CDK6;CNOT7;BCL6;CDK4;ZNF417;ZNF416;CDK1;ZNF777;CNOT8;ZNF773;PIWIL2;ZNF771;ZC3H8;ITGAL;ZNF529;DNMT3B;UBTF;ZNF764;ZNF521;ZNF761;TNFRSF18;DNMT3A;RABGGTB;TFDP1;TFDP2;ZNF519;POLR1A;BIRC5;ZNF514;ITGA5;ZNF510;HDAC4;HDAC5;SMARCD1;CEBPB;HDAC2;GTF3C4;SRC;FIP1L1;RBBP4;ZNF749;ZNF627;ZNF626;ZNF747;ZNF624;RBBP7;E2F5;ZNF621;ZNF500;E2F6;ZNF620;E2F7;ZNF740;E2F8;ZNF860;SMARCE1;MGA;KLF4;PML;RAD50;POLR3A;IL2RA;ZNF736;ZNF614;ZNF613;PTPN4;ZNF610;ZNF730;HDAC11;LGALS3;TRIM28;ZNF607;ZNF606;ZNF726;ZNF605;ZNF721;SMARCC1;SMARCC2;ZFP1;ZFP2;RUNX3;RUNX2;RUNX1;ZNF839;ZNF714;ZNF713;TFAM;ZNF710;TP53;L3MBTL1;ZNF324B;L3MBTL2;CSTF3;SUPT4H1;TGFA;TWIST1;ZNF709;ZNF708;ZNF707;ZNF704;ZNF703;CSTF1;HIVEP3;YES1;SMARCA4;OCLN;ARTN;CDC16;CALM1;CTSL;XPO5;VENTX;PRMT5;PBRM1;PARP1;PRMT1;TFB2M;NR5A1;NR5A2;SGK1;FYTTD1;ZNF3;RXRB;ZFP14;RXRA;ZNF585B;NPM1;NFYB;NFYC;NR6A1;GPAM;PRKRA;CAMK4;ZNF354B;PRDM1;NR3C2;CCND1;LIFR;RBM8A;TCF7;DMAP1;SMAD1;ZFHX3;SMAD4;CBX5;CPSF6;TFAP2E;VDR;CAV1;CNOT10;POU2F2;SMAD6;ESR1;ESR2;SMAD7;NR4A2;NR4A1;IL6;NABP1;YWHAE;KDM5B;THRB;THRA;DPY30;CASP6;SNAPC4;MYBL2;MYBL1;ZNF385A;TGIF1;TBP;TGIF2;NCBP2;PDPK1;PPP2R5C;RBL2;CREB1;CAMK2B;CAMK2D;ZNF195;TAF9;LEF1;CSTF2T;NR2C1;AURKB;AURKA;MTA1;PABPN1;TAF1B;DROSHA;MTA2;MTA3;ZNF286A;TCF7L2;RRM2;TAF13;ARID3A;SSRP1;MAPK14;MAPK11;GNPDA1;ERCC3;ERCC2;TAF6;TAF2;TAF1
Herpes simplex virus 1 infection,KEGG_2021_Human,1.603e-38,5.0830e-36,3.756,326.9,ZNF573;ZNF571;ZNF570;ZNF81;ZFP30;ZNF607;ZNF606;ZNF83;ZNF605;ZNF726;AKT3;ZNF208;ZNF846;ZNF85;ZNF689;IL12A;ZNF688;ZNF721;ZNF566;ZNF169;ZFP37;ZNF565;ZNF17;ZNF320;ZNF682;ZNF680;ZNF283;ZFP1;ZNF282;ZNF160;ZNF10;HLA-F;HCFC1;HLA-E;ZNF90;ZNF91;ZNF836;ZNF439;ZNF714;ZNF559;ZNF713;ZNF316;ZNF558;SRSF5;SRSF6;ZNF433;ZNF554;ZNF675;TP53;ZNF157;ZNF431;ZNF551;ZNF154;ZNF550;ZNF792;ZNF324B;ZNF273;ZNF790;PIK3R3;ZNF23;ZNF709;ZNF708;ZNF707;ZNF549;ZNF548;ZNF426;TNFRSF14;ZNF304;ZNF546;ZNF302;ZNF665;ZNF785;ZNF267;ZNF300;ZNF420;ZNF783;ZNF540;ZNF782;EIF2B4;EIF2B3;ZNF383;TNFSF14;EIF2AK4;ZNF34;PILRA;POU2F2;NFKB1;SRPK1;IL6;MAVS;ZNF37A;ZNF816;ZNF30;ZNF417;ZNF813;BCL2;ZNF416;HLA-DRA;ZNF777;TAB2;RBAK;ZNF773;ZNF133;ZNF254;ZNF253;ZNF891;ZNF251;ZNF492;ITGB3;ZNF43;PIK3CD;PIK3CB;IKBKB;ZNF529;ZNF527;ZNF768;ZNF888;ZNF248;ZNF765;ZNF764;HLA-DPA1;JAK1;ZNF761;SYK;IFNGR1;ZNF480;IFNGR2;ZFP92;ZNF57;ZNF519;IRF3;OAS2;TRAF5;IRF7;ZNF514;ZNF780B;ITGA5;ZNF599;ZNF114;ZNF235;ZNF510;ZNF234;IRF9;TLR2;ZNF595;ZNF473;ZNF230;SP100;ZNF471;ZNF195;SRC;ZNF3;ZFP14;ZNF749;ZNF627;ZNF624;ZNF623;ZNF468;ZNF589;ZNF621;ZNF585B;ZNF224;ZNF587;ZNF620;ZNF101;ZNF343;ZNF860;ZNF286A;ZNF584;ZNF461;ZNF460;STAT1;ZNF182;CARD9;ZNF181;PML;ZNF33B;ZNF74;ZNF736;HLA-DPB1;ZNF614;ZNF613;ZNF337;ZNF610;ZNF334;ZNF730;ZNF354B
CEBPB human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,1.703e-27,2.9360e-24,4.060,250.2,IL1RN;SPI1;AQP9;RNF19B;ICAM1;CXCL16;ZC3H12A;C3AR1;TRIM25;SIRPA;CMKLR1;ACSL1;SLC11A1;PRKCD;CYBB;CYBA;TYROBP;KCNQ1;ZNF316;ZNF710;PI4K2A;PFKFB3;C5AR1;GPR84;PIK3R5;TRPM2;DPP7;DHX34;PSAP;CHST15;TNFRSF14;CD14;ZNF787;ZBTB7B;SLC15A3;MSC;VASP;LYN;CCR1;PILRA;IGF2R;NFKB1;FOSL2;NFKB2;SLC6A6;ABTB1;MAFB;BCL6;GNB2;BCL3;MAFK;LGMN;OGFR;ZMYND15;RNPEPL1;HEXB;CTSZ;ITGB2;PTPRJ;TCIRG1;LITAF;CTSS;HK3;CTSL;CTSD;ABCD1;ZNF385A;GPSM3;CTSB;FCER1G;NFAM1;IFNGR2;TFE3;PLAUR;ARAP1;GMIP;TNFRSF1B;VAV1;KLF16;IL17RA;FGR;HCK;ADORA2A;RARA;RAPGEF1;MMP19;TLR8;TLR4;JDP2;STK40;TLR2;ENG;DNASE1L1;PPARD;GRN;AP5Z1;SLC43A2;CEBPD;SRC;PPM1M;PTAFR;NOD2;GNAI2;TYMP;ZDHHC18;RXRA;HLX;SH3BP2;ZNF865;NR1H3;LILRB1;MYO9B;LILRB2;LILRB3;SOD2;LILRB4;USF2;CD4;CD68
IRF5 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,4.225e-25,2.4280e-22,3.831,215.0,CD86;IL1RN;SPI1;RNF19B;ICAM1;IL4I1;RASSF5;ZC3H12A;C3AR1;TRIM25;SIRPA;CMKLR1;FNBP1;PRKCD;CYBB;CYBA;RUNX3;HLA-E;TYROBP;KCNQ1;ADPRH;BTK;CD274;C5AR1;GPR84;PIK3R5;TRPM2;DPP7;PSAP;LPXN;TNFRSF14;CD14;SLC15A3;MSC;VASP;STAT5A;LYN;CCR1;PILRA;PARP12;NFKB1;NFKB2;ARHGAP30;TBXAS1;BCL3;LGMN;OGFR;CTSZ;MS4A7;ITGB2;PIK3CD;LSP1;TCIRG1;LITAF;CTSS;ARHGAP4;HK3;RAC2;CTSH;CD37;CTSD;ABCD1;GPSM3;CTSB;HLA-DPA1;FCER1G;SYK;IFNGR2;TFEB;PLAUR;ARAP1;GMIP;TNFRSF1B;VAV1;IL17RA;FGR;HCK;ADORA2A;OAS2;TFEC;RAPGEF1;IRF7;MMP19;HCLS1;TLR7;CD48;LCP1;STK40;IRF9;TLR2;GRN;CEBPB;AP5Z1;SLC43A2;SRC;PPM1M;PTAFR;AOAH;NOD2;GNAI2;TYMP;HLX;SH3BP2;IL10RA;CARD9;RFTN1;LILRB1;MYO9B;LILRB2;LILRB3;LILRB4;PML;CD4;HLA-DPB1;CD68
PLEK human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,4.225e-25,2.4280e-22,3.831,215.0,CD86;SPI1;CD83;AQP9;RNF19B;ETS2;ICAM1;CXCL16;STK10;RASSF2;RASSF5;ZC3H12A;C3AR1;TRIM25;SIRPA;FNBP1;PRKCD;CYBB;CYBA;RUNX3;HLA-E;TYROBP;ADPRH;BTK;CD274;C5AR1;GPR84;PIK3R5;HCAR3;PSAP;NLRP3;LPXN;TNFRSF14;SLC15A3;MSC;ZNF267;VASP;STAT5A;LYN;CCR1;PILRA;LYZ;NFKB1;FOSL2;NFKB2;PTPRE;ARHGAP30;TBXAS1;BCL3;CTSZ;MS4A7;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;ARHGAP4;HK3;PSTPIP1;RAC2;GPSM3;HLA-DPA1;FCER1G;SYK;TFEB;PLAUR;ARAP1;GMIP;TNFRSF1B;VAV1;IL17RA;FGR;HCK;ELF1;ADORA2A;IRF1;TFEC;RAPGEF1;PELI1;IRF7;TLR8;HCLS1;IRF8;TLR7;CD48;LCP1;TLR4;STK40;TLR2;GRN;CEBPB;SLC43A2;PPM1M;PTAFR;AOAH;LILRA1;NOD2;PTGS2;GNAI2;TYMP;GNA13;HLX;SH3BP2;IL10RA;RFTN1;LILRB1;MYO9B;LILRB2;LILRB3;LILRB4;CD4;P2RX1;CD68
SPI1 human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,3.008e-22,1.0370e-19,3.560,176.4,CSF3R;AQP9;RASSF2;RASSF5;C3AR1;SIRPA;SLC11A1;PRKCD;CYBB;CYBA;HLA-E;PHOSPHO1;TYROBP;KCNQ1;ZNF710;S100A9;CDC42SE1;AKNA;C5AR1;MEFV;CORO1A;PIK3R5;TRPM2;DHX34;PSAP;CHST15;TNFRSF14;CD14;ZBTB7B;SLC15A3;VASP;LYN;CCR1;TNFRSF10C;ABCA7;PILRA;SLC6A6;ABTB1;BST1;ARHGAP30;VNN2;BCL6;TBXAS1;BCL3;MXD1;OGFR;ARHGAP9;RNPEPL1;CTSZ;ITGB2;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;ARHGAP4;HK3;GLT1D1;MMP25;PSTPIP1;RAC2;GPSM3;FCER1G;NFAM1;IFNGR2;TFEB;ARAP1;GMIP;TNFRSF1B;VAV1;IL17RA;FGR;RARA;TLR8;HCLS1;LCP1;TLR4;STK40;RNF166;TLR2;GRN;CEBPB;SLC43A2;PPM1M;PTAFR;AOAH;LILRA1;NOD2;LILRA2;GNAI2;TYMP;ZDHHC18;CXCR1;HLX;CXCR2;SH3BP2;ZNF467;MAP3K3;MBOAT7;LILRB1;MYO9B;LILRB2;LILRB3;CPPED1;CD4;RNF149;CD68;MSRB1
SEMA4A human tf ARCHS4 coexpression,ARCHS4_TFs_Coexp,3.008e-22,1.0370e-19,3.560,176.4,CD86;AQP9;RNF19B;RASSF2;RASSF5;C3AR1;TRIM25;SIRPA;CMKLR1;SLC11A1;PRKCD;CYBB;CYBA;HLA-E;TYROBP;KCNQ1;ZNF710;CDC42SE1;AKNA;C5AR1;MEFV;CORO1A;PIK3R5;TRPM2;PSAP;CHST15;TNFRSF14;CD14;ZBTB7B;SLC15A3;VASP;LYN;CCR1;TNFRSF10C;ABCA7;PILRA;NFKB2;ABTB1;BST1;ARHGAP30;VNN2;BCL6;TBXAS1;BCL3;MXD1;OGFR;ARHGAP9;RNPEPL1;CTSZ;ITGB2;ATP2A3;PIK3CD;PTPRJ;LSP1;TCIRG1;LITAF;CTSS;SIRPB1;ARHGAP4;HK3;GLT1D1;MMP25;PSTPIP1;RAC2;GPSM3;FCER1G;SYK;NFAM1;IFNGR2;TFEB;ARAP1;GMIP;TNFRSF1B;VAV1;IL17RA;FGR;HCK;RARA;RAPGEF1;IRF7;TLR8;HCLS1;LCP1;TLR4;STK40;RNF166;TLR2;GRN;CEBPB;SLC43A2;PPM1M;PTAFR;AOAH;LILRA1;NOD2;LILRA2;GNAI2;TYMP;ZDHHC18;CXCR1;CXCR2;SH3BP2;IL10RA;LILRB1;MYO9B;LILRB2;LILRB3;LILRB4;CD4;CD68
decreased B cell number MP:0005017,MGI_Mammalian_Phenotype_Level_4_2021,1.327e-18,5.7510e-15,3.906,160.8,SMARCAL1;SPI1;CSF1;FLT3;CLEC10A;SPPL2A;ITGB2;PIK3CD;MSI2;TCIRG1;ITGAL;IKZF3;ETS1;BACH2;AFF1;TNFSF13B;IKBKB;AKAP13;LYL1;RASSF2;MECOM;MYB;SCMH1;RAC2;MYBL1;JAK1;TLE4;AGTPBP1;SYK;TCF12;EBF1;FLT3LG;PAX5;RUNX2;RASA3;DKC1;KAT6A;BTK;HCLS1;IRF8;TLR4;CBFB;KMT2A;NEDD4L;CXCR4;BCL10;MEFV;STK4;PRKCZ;CORO1A;RASGRP1;SGPL1;CUX1;CXCR2;TP53BP1;ZBTB7A;NKX2-3;LYN;CREBBP;CRBN;STAT1;GALNT1;ARID3A;POU2F2;ESR1;NFKB2;ASXL1;POLE4;RAD50;IL7;CD5;FUBP1;POU2AF1;BCL3;IL2RB;MFAP2;BCL2;CNTN1;TCF3;IL7R;CDS2
